CLASS,REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN
SKY,125.000000,46.000000,9.000000,0.111111,0.000000,0.611109,0.611616,2.166668,0.781735,124.555560,112.777780,141.000000,119.888885,-35.333332,49.333332,-14.000000,141.000000,0.200124,-2.357688
FOLIAGE,101.000000,121.000000,9.000000,0.111111,0.000000,0.666667,0.843274,1.500000,0.888194,3.407408,1.111111,6.000000,3.111111,-6.888889,7.777778,-0.888889,6.000000,0.843519,-2.519165
FOLIAGE,21.000000,122.000000,9.000000,0.000000,0.000000,0.444444,0.403687,0.444444,0.403687,0.555556,0.000000,1.222222,0.444444,-1.666667,2.000000,-0.333333,1.222222,0.555556,-2.444563
FOLIAGE,45.000000,89.000000,9.000000,0.000000,0.000000,0.777778,0.340741,0.777778,0.474074,2.296296,0.111111,6.444445,0.333333,-6.555555,12.444445,-5.888889,6.444445,0.986111,-2.123905
FOLIAGE,18.000000,87.000000,9.000000,0.000000,0.000000,1.555556,1.962613,1.888889,1.746955,2.925926,1.222222,5.666667,1.888889,-5.111111,8.222222,-3.111111,5.666667,0.862771,-2.229493
FOLIAGE,52.000000,102.000000,9.000000,0.000000,0.000000,0.722222,0.507407,0.833333,0.566667,2.888889,0.666667,6.333334,1.666667,-6.666667,10.333333,-3.666667,6.333334,0.899735,-2.261720
FOLIAGE,54.000000,91.000000,9.000000,0.000000,0.000000,1.444444,1.540741,0.833333,0.255556,3.259259,0.555556,8.000000,1.222222,-8.111111,14.222222,-6.111111,8.000000,0.944811,-2.186723
FOLIAGE,80.000000,87.000000,9.000000,0.000000,0.111111,24.388891,572.996400,44.722225,1386.329200,67.444440,58.777780,79.000000,64.555560,-26.000000,34.666668,-8.666667,79.000000,0.306281,-2.422127
FOLIAGE,140.000000,124.000000,9.000000,0.000000,0.000000,1.000000,0.444445,1.111111,1.051852,2.518518,0.222222,6.111111,1.222222,-6.888889,10.777778,-3.888889,6.111111,0.973765,-2.267462
FOLIAGE,69.000000,139.000000,9.000000,0.000000,0.000000,2.833333,1.773259,2.111111,1.668887,18.074074,16.000000,22.555555,15.666667,-6.222222,13.444445,-7.222222,23.888890,0.386612,-1.702833
FOLIAGE,9.000000,80.000000,9.000000,0.000000,0.000000,2.944444,13.751853,16.666666,71.511100,23.629630,17.333334,31.666666,21.888890,-18.888890,24.111110,-5.222222,31.666666,0.514254,-2.431514
FOLIAGE,6.000000,81.000000,9.000000,0.000000,0.111111,4.111111,8.740745,5.722223,28.507410,12.481482,7.666667,18.888890,10.888889,-14.444445,19.222221,-4.777778,18.888890,0.628156,-2.388561
FOLIAGE,74.000000,129.000000,9.000000,0.000000,0.000000,0.222222,0.029630,0.111111,0.029630,0.518519,0.000000,1.555556,0.000000,-1.555556,3.111111,-1.555556,1.555556,1.000000,-2.094395
FOLIAGE,41.000000,75.000000,9.000000,0.000000,0.111111,15.388889,19.136257,26.611113,31.713590,55.000000,47.444443,65.444440,52.111110,-22.666666,31.333334,-8.666667,65.444440,0.297802,-2.356754
FOLIAGE,36.000000,145.000000,9.000000,0.000000,0.000000,0.277778,0.196296,1.277778,2.062963,0.851852,0.333333,1.444444,0.777778,-1.555556,1.777778,-0.222222,1.444444,0.251852,-2.530950
FOLIAGE,94.000000,144.000000,9.000000,0.000000,0.000000,0.444444,0.118518,0.500000,0.166667,1.148148,0.000000,3.444444,0.000000,-3.444444,6.888889,-3.444444,3.444444,1.000000,-2.094395
FOLIAGE,18.000000,90.000000,9.000000,0.000000,0.000000,1.055556,0.374074,0.666667,0.222222,2.814815,0.555556,6.888889,1.000000,-6.777778,12.222222,-5.444445,6.888889,0.926146,-2.164323
FOLIAGE,68.000000,103.000000,9.000000,0.000000,0.000000,0.666667,0.577778,1.111111,0.962963,2.148148,0.111111,5.666667,0.666667,-6.111111,10.555555,-4.444445,5.666667,0.987654,-2.185466
FOLIAGE,45.000000,108.000000,9.000000,0.000000,0.111111,25.500000,12.795401,27.277779,15.930981,49.814816,41.777780,61.111110,46.555557,-24.111110,33.888890,-9.777778,61.111110,0.358975,-2.360491
FOLIAGE,59.000000,99.000000,9.000000,0.000000,0.000000,0.777778,0.829630,1.000000,0.355556,2.037037,0.111111,5.555555,0.444444,-5.777778,10.555555,-4.777778,5.555555,0.986111,-2.149743
FOLIAGE,67.000000,136.000000,9.000000,0.000000,0.000000,6.722223,3.708349,2.666667,3.197221,15.518518,9.000000,25.333334,12.222222,-19.555555,29.444445,-9.888889,25.333334,0.660813,-2.307511
FOLIAGE,226.000000,110.000000,9.000000,0.000000,0.000000,0.333333,0.088889,0.500000,0.211111,1.666667,0.111111,4.444445,0.444444,-4.666667,8.333333,-3.666667,4.444445,0.977778,-2.155984
FOLIAGE,231.000000,124.000000,9.000000,0.000000,0.000000,3.444445,14.962965,1.833333,6.433335,3.000000,1.444444,5.888889,1.666667,-4.666667,8.666667,-4.000000,5.888889,0.895369,-2.118937
FOLIAGE,103.000000,125.000000,9.000000,0.000000,0.000000,0.944445,0.827759,0.833333,0.691215,1.777778,0.444444,3.888889,1.000000,-4.000000,6.333334,-2.333333,3.888889,0.923810,-2.237562
FOLIAGE,1.000000,81.000000,9.000000,0.000000,0.000000,12.166667,267.455540,9.222222,205.362960,21.333334,14.000000,30.555555,19.444445,-22.000000,27.666666,-5.666667,30.555555,0.595282,-2.438409
FOLIAGE,230.000000,124.000000,9.000000,0.000000,0.000000,0.277778,0.107407,0.277778,0.151852,0.666667,0.000000,2.000000,0.000000,-2.000000,4.000000,-2.000000,2.000000,1.000000,-2.094395
FOLIAGE,58.000000,109.000000,9.000000,0.000000,0.000000,0.888889,0.251852,2.833333,1.677777,4.296296,1.444444,8.444445,3.000000,-8.555555,12.444445,-3.888889,8.444445,0.864482,-2.283787
FOLIAGE,59.000000,120.000000,9.000000,0.000000,0.000000,2.166667,1.986063,1.444444,1.869839,19.074074,10.555555,33.111110,13.555555,-25.555555,42.111110,-16.555555,33.111110,0.681266,-2.231261
FOLIAGE,140.000000,125.000000,9.000000,0.000000,0.000000,0.666667,0.222222,2.666667,3.777778,3.925926,1.555556,7.777778,2.444444,-7.111111,11.555555,-4.444445,7.777778,0.853199,-2.234241
FOLIAGE,127.000000,143.000000,9.000000,0.000000,0.000000,1.500000,0.122222,0.888889,0.607407,4.185185,0.888889,9.444445,2.222222,-9.888889,15.777778,-5.888889,9.444445,0.915376,-2.257412
FOLIAGE,23.000000,129.000000,9.000000,0.000000,0.000000,0.500000,0.077778,0.388889,0.151852,0.518519,0.000000,1.555556,0.000000,-1.555556,3.111111,-1.555556,1.555556,0.777778,-2.094395
CEMENT,191.000000,119.000000,9.000000,0.000000,0.000000,1.111111,1.293862,0.944446,0.772202,39.851852,36.222220,48.222220,35.111110,-10.888889,25.111110,-14.222222,48.222220,0.271717,-2.006000
CEMENT,219.000000,80.000000,9.000000,0.000000,0.000000,1.277777,0.329630,0.666667,0.933332,39.703705,36.333336,48.222220,34.555557,-10.111111,25.555555,-15.444445,48.222220,0.282964,-1.962646
CEMENT,136.000000,45.000000,9.000000,0.000000,0.000000,1.222222,1.544406,2.055555,1.526313,53.074074,48.111110,63.777780,47.333332,-14.888889,32.111110,-17.222221,63.777780,0.259367,-2.045905
CEMENT,66.000000,160.000000,9.000000,0.000000,0.000000,3.000001,4.044447,2.777778,0.429630,22.851852,18.222221,31.555555,18.777779,-13.888889,26.111110,-12.222222,31.555555,0.426014,-2.138726
CEMENT,190.000000,105.000000,9.000000,0.000000,0.000000,1.888889,2.296298,2.166666,1.677780,45.740740,41.222220,56.333332,39.666668,-13.555555,31.777779,-18.222221,56.333332,0.295992,-1.996082
CEMENT,37.000000,78.000000,9.000000,0.000000,0.000000,1.000001,0.177777,2.555557,2.874073,43.814816,41.111110,51.888890,38.444443,-8.111111,24.222221,-16.111110,51.888890,0.258916,-1.886072
CEMENT,198.000000,127.000000,9.000000,0.000000,0.000000,2.444444,4.385187,8.555555,59.540750,40.740740,38.000000,48.222220,36.000000,-8.222222,22.444445,-14.222222,48.222220,0.248999,-1.908348
CEMENT,191.000000,101.000000,9.000000,0.000000,0.000000,1.111112,0.779364,1.111111,1.186342,45.037037,39.000000,57.111110,39.000000,-18.111110,36.222220,-18.111110,57.111110,0.322733,-2.094303
CEMENT,243.000000,120.000000,9.000000,0.000000,0.000000,4.444445,4.359749,1.555555,1.833839,47.851852,44.777780,56.333332,42.444443,-9.222222,25.444445,-16.222221,56.333332,0.245321,-1.910735
CEMENT,230.000000,117.000000,9.000000,0.000000,0.000000,3.277779,0.928958,1.444443,0.860663,39.037037,33.555557,49.777780,33.777780,-16.444445,32.222220,-15.777778,49.777780,0.335026,-2.106235
CEMENT,151.000000,89.000000,9.000000,0.000000,0.000000,8.388889,4.577317,0.722222,0.389682,31.703703,27.333334,41.000000,26.777779,-13.111111,27.888890,-14.777778,41.000000,0.351273,-2.046542
CEMENT,176.000000,100.000000,9.000000,0.000000,0.000000,1.944444,0.774075,1.444445,0.651851,55.370370,50.333332,66.888890,48.888890,-15.111111,34.555557,-19.444445,66.888890,0.268621,-2.006190
CEMENT,118.000000,126.000000,9.000000,0.000000,0.000000,0.666667,0.400000,1.833334,2.122222,20.555555,16.111110,28.666666,16.888890,-13.333333,24.333334,-11.000000,28.666666,0.437078,-2.158805
CEMENT,42.000000,57.000000,9.000000,0.000000,0.000000,1.388891,0.975628,0.999999,0.365148,65.703705,59.444443,79.444440,58.222220,-18.777779,41.222220,-22.444445,79.444440,0.266776,-2.030703
CEMENT,217.000000,148.000000,9.000000,0.000000,0.000000,2.055556,2.551854,1.055555,0.507408,29.074074,21.444445,41.555557,24.222221,-22.888890,37.444443,-14.555555,41.555557,0.483771,-2.237972
CEMENT,14.000000,146.000000,9.000000,0.111111,0.000000,0.888889,0.474074,1.111111,0.740741,10.592592,8.000000,15.666667,8.111112,-7.777778,15.222222,-7.444445,15.666667,0.487864,-2.108911
CEMENT,22.000000,87.000000,9.000000,0.000000,0.000000,1.888890,1.259042,1.166667,0.623611,64.037040,55.777780,80.333336,56.000000,-24.777779,48.888890,-24.111110,80.333336,0.309700,-2.105073
CEMENT,130.000000,32.000000,9.000000,0.000000,0.000000,1.111111,1.047041,0.833334,0.836659,59.481480,54.222220,70.888890,53.333332,-15.777778,34.222220,-18.444445,70.888890,0.249001,-2.042422
CEMENT,162.000000,159.000000,9.000000,0.000000,0.000000,2.166667,0.960324,2.222222,1.455513,26.111110,25.222221,29.555555,23.555555,-2.666667,10.333333,-7.666667,29.555555,0.202846,-1.802554
CEMENT,150.000000,158.000000,9.000000,0.000000,0.000000,2.166667,1.633334,1.388889,0.418518,8.444445,7.000000,12.222222,6.111111,-4.333334,11.333333,-7.000000,12.222222,0.503086,-1.943449
CEMENT,163.000000,68.000000,9.000000,0.000000,0.000000,1.833334,2.211110,1.555556,0.962963,56.777780,52.000000,68.222220,50.111110,-14.333333,34.333332,-20.000000,68.222220,0.265053,-1.984308
CEMENT,187.000000,80.000000,9.000000,0.000000,0.000000,1.333333,0.711111,1.333333,0.711109,40.518520,37.777780,47.666668,36.111110,-8.222222,21.444445,-13.222222,47.666668,0.244730,-1.942698
CEMENT,140.000000,73.000000,9.000000,0.000000,0.000000,1.722221,0.827760,0.777777,1.003696,46.296295,45.666668,51.111110,42.111110,-1.888889,14.444445,-12.555555,51.111110,0.176156,-1.681589
CEMENT,236.000000,117.000000,9.000000,0.000000,0.000000,0.777779,0.403687,1.277778,0.742868,45.888890,39.555557,58.444443,39.666668,-19.000000,37.666668,-18.666666,58.444443,0.330477,-2.099480
CEMENT,112.000000,90.000000,9.000000,0.000000,0.000000,7.388890,6.945556,1.277777,0.879814,65.185190,57.666668,79.777780,58.111110,-22.555555,43.777780,-21.222221,79.777780,0.278345,-2.108813
CEMENT,197.000000,121.000000,9.000000,0.000000,0.000000,21.666666,17.362800,0.944444,0.904721,41.037037,37.444443,49.444443,36.222220,-10.777778,25.222221,-14.444445,49.444443,0.280578,-1.995536
CEMENT,141.000000,17.000000,9.000000,0.111111,0.222222,3.722223,4.449303,5.000000,2.319004,44.592594,40.333336,54.000000,39.444443,-12.777778,28.222221,-15.444445,54.000000,0.268186,-2.030048
CEMENT,79.000000,28.000000,9.000000,0.000000,0.000000,4.277777,3.761896,0.833333,0.658281,62.407406,53.444443,79.111115,54.666668,-26.888890,50.111110,-23.222221,79.111115,0.324556,-2.144507
CEMENT,169.000000,102.000000,9.000000,0.000000,0.000000,1.000000,0.355555,0.888889,0.296296,58.222220,53.444443,69.666670,51.555557,-14.333333,34.333332,-20.000000,69.666670,0.259760,-1.985584
CEMENT,208.000000,65.000000,9.000000,0.000000,0.000000,1.388887,1.236780,26.444445,25.537477,56.703705,52.666668,64.444440,53.000000,-12.111111,23.222221,-11.111111,64.444440,0.197130,-1.970812
WINDOW,189.000000,144.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WINDOW,189.000000,141.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WINDOW,210.000000,153.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WINDOW,57.000000,89.000000,9.000000,0.000000,0.000000,1.722222,1.306678,6.166667,4.703426,17.000000,13.000000,24.555555,13.444445,-12.000000,22.666666,-10.666667,24.555555,0.477489,-2.129746
WINDOW,243.000000,94.000000,9.000000,0.000000,0.000000,0.666667,0.311111,0.222222,0.029630,1.185185,0.222222,3.222222,0.111111,-2.888889,6.111111,-3.222222,3.222222,0.977778,-2.071242
WINDOW,229.000000,104.000000,9.000000,0.000000,0.000000,0.500000,0.547722,2.833333,2.041242,19.777779,16.333334,26.111110,16.888890,-10.333333,19.000000,-8.666667,26.111110,0.375532,-2.150638
WINDOW,226.000000,131.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WINDOW,196.000000,95.000000,9.000000,0.000000,0.000000,1.722222,1.123817,1.333334,1.264911,7.629630,6.777778,10.777778,5.333334,-2.555556,9.444445,-6.888889,10.777778,0.512566,-1.749258
WINDOW,43.000000,152.000000,9.000000,0.000000,0.000000,1.944445,1.707408,1.222222,0.829630,1.518519,1.000000,2.888889,0.666667,-1.555556,4.111111,-2.555556,2.888889,0.648677,-1.933239
